Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
hoodie,Hoodie,Its very warm,Custom1234,Hoodie,"",true,Size,S,Color,red,,,h01s,0,,1,deny,manual,50.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,
hoodie,,,,,,,,S,,blue,,,h02s,0,,1,deny,manual,50.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
hoodie,,,,,,,,S,,green,,,h03s,0,,1,deny,manual,50.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
hoodie,,,,,,,,M,,red,,,h01m,0,,1,deny,manual,50.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
hoodie,,,,,,,,M,,blue,,,h02m,0,,1,deny,manual,50.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
hoodie,,,,,,,,M,,green,,,h03m,0,,1,deny,manual,50.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
hoodie,,,,,,,,L,,red,,,h01r,0,,1,deny,manual,50.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
hoodie,,,,,,,,L,,blue,,,h02r,0,,1,deny,manual,50.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
hoodie,,,,,,,,L,,green,,,h03r,0,,1,deny,manual,50.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
jeans,Jeans,Just some skinny jeans,Custom1234,Jeans,"",true,Size,S,Color,black,,,j01s,0,,1,deny,manual,40.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,
jeans,,,,,,,,S,,blue,,,j02s,0,,1,deny,manual,40.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
jeans,,,,,,,,S,,white,,,j03s,0,,1,deny,manual,40.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
jeans,,,,,,,,M,,black,,,j01m,0,,1,deny,manual,40.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
jeans,,,,,,,,M,,blue,,,j02m,0,,1,deny,manual,40.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
jeans,,,,,,,,M,,white,,,j03m,0,,1,deny,manual,40.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
jeans,,,,,,,,L,,black,,,j01l,0,,1,deny,manual,40.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
jeans,,,,,,,,L,,blue,,,j02l,0,,1,deny,manual,40.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
jeans,,,,,,,,L,,white,,,j03l,0,,1,deny,manual,40.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,
